Epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.38066089153289795,0.746055543422699,0.3926497995853424,0.7406120300292969,0.003000000026077032
2,0.3324848711490631,0.6853178143501282,0.2878272235393524,0.6020281314849854,0.003000000026077032
3,0.31587034463882446,0.6637526750564575,0.2191312164068222,0.508549153804779,0.003000000026077032
4,0.2902020812034607,0.6307026743888855,0.18994872272014618,0.46639302372932434,0.003000000026077032
5,0.2709619998931885,0.5912833213806152,0.18363213539123535,0.4601447582244873,0.003000000026077032
6,0.2534373998641968,0.5677110552787781,0.1804320067167282,0.4608074128627777,0.003000000026077032
7,0.22974793612957,0.5372210741043091,0.17680759727954865,0.4637466371059418,0.003000000026077032
8,0.21544022858142853,0.5015992522239685,0.1615709662437439,0.44344401359558105,0.003000000026077032
9,0.21039922535419464,0.5060071349143982,0.16513200104236603,0.4523276388645172,0.003000000026077032
10,0.21084383130073547,0.5113361477851868,0.15839926898479462,0.4455796778202057,0.003000000026077032
11,0.20125819742679596,0.5028458833694458,0.1632363647222519,0.4566563665866852,0.003000000026077032
12,0.19315189123153687,0.47574982047080994,0.17381316423416138,0.4718712866306305,0.003000000026077032
13,0.18858282268047333,0.4713033437728882,0.1533423662185669,0.4325076639652252,0.003000000026077032
14,0.19413085281848907,0.487829327583313,0.20032799243927002,0.5195347666740417,0.003000000026077032
15,0.18448694050312042,0.4598248302936554,0.23581945896148682,0.5754921436309814,0.003000000026077032
16,0.19694465398788452,0.48887670040130615,0.24009127914905548,0.5792904496192932,0.003000000026077032
17,0.17121902108192444,0.44960954785346985,0.23713941872119904,0.5734896063804626,0.003000000026077032
18,0.17519783973693848,0.46299633383750916,0.25018584728240967,0.5933142304420471,0.001500000013038516
19,0.18260277807712555,0.4666827619075775,0.28168025612831116,0.6344290375709534,0.001500000013038516
20,0.17626793682575226,0.4461328089237213,0.281019002199173,0.6310868263244629,0.001500000013038516
21,0.17692038416862488,0.46593591570854187,0.28050896525382996,0.6295656561851501,0.001500000013038516
22,0.1627831757068634,0.4361019730567932,0.29044753313064575,0.6427181959152222,0.000750000006519258
23,0.17280994355678558,0.4579654932022095,0.30147501826286316,0.6537051200866699,0.000750000006519258
24,0.1684846729040146,0.4452134370803833,0.3087504208087921,0.6610265374183655,0.000750000006519258
25,0.19140826165676117,0.4864165484905243,0.311345636844635,0.6638235449790955,0.000750000006519258
