acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.0127828615,-0.07688979,0.0021017627,-0.013806138,-0.03408202,0.06860982
-0.010884939,-0.028029809,0.010267482,-0.11126122,-0.12529497,-0.054938015
-0.022564298,-0.01517251,0.031782232,-0.0030205585,-0.06482591,-0.057234067
-0.061232787,-0.03431836,-0.08813785,0.11139568,-0.0909251,0.15803616
0.03473831,-0.04139566,0.036409967,-0.0122407405,-0.16086127,0.005515142
0.020543745,0.00501769,0.004000463,0.06654214,-0.03782618,-0.003558362
-0.03372156,-0.0048038876,0.057442233,0.05310377,-0.061503787,-0.018368458
0.023329511,-0.0021816227,-0.025472857,0.05832793,-0.16710448,0.033227228
0.07452724,0.028552394,-0.01823741,0.066815935,-0.11360059,-0.056626175
-0.020649524,-0.028712995,0.014686295,-0.00022401594,-0.05696716,0.0045853374
-0.050088696,-0.04904832,-0.06783496,-0.03373998,-0.28128424,0.08693619
-0.01228677,-0.05650682,-0.07085827,-0.04218087,-0.03527973,-0.025651155
-0.03748909,0.013599291,0.026759043,0.012813215,-0.02866212,-0.19030707
-0.025321504,0.025822734,0.008858566,0.034263074,0.0019118703,-0.052392796
-0.057014044,-0.039921883,-0.18407814,-0.08374456,-0.097622246,0.061446205
-0.07871253,-0.074157625,-0.085405506,-0.051101707,-0.16381963,0.08967173
-0.012480483,-0.05189335,-0.06164209,-0.027974773,0.0002630091,0.02908594
-0.03070143,0.021893593,0.01686665,0.016339755,-0.15999825,0.114193276
0.014434191,-0.04405863,0.080845244,-0.03751361,-0.0067242486,-0.08316953
0.029929,-0.053085253,0.117870264,0.0137774935,-0.10405635,0.102309145
-0.03375087,-0.04044529,0.018430868,-0.025422167,-0.13097385,0.01678158
0.028706893,-0.028462408,-0.040447142,-0.033003155,-0.02645303,0.05407735
-0.063947864,-0.033570927,-0.088537544,-0.07862851,0.03977956,-0.2288331
-0.09379925,0.025491428,-0.09453641,-0.026124243,-0.0625552,0.07139869
0.026578993,0.026480125,0.037759792,0.024720684,-0.06965914,0.018636664
-0.027171914,-0.023147995,0.049685102,-0.0056152116,-0.18508124,0.15266569
-0.087586336,-0.005095445,-0.13968097,-0.10448302,0.016496645,0.0150557915
-0.04825972,0.059906207,0.0063323854,0.07616828,-0.04417117,-0.07786448
0.021860458,-0.009362188,0.057323027,-0.03981152,-0.07173474,-0.06425968
-0.07337478,0.022753809,-0.020888915,-0.033719294,0.054670297,0.032448865
-0.0010187265,0.012097415,0.16130225,0.061784245,-0.17539428,0.024623783
-0.02612404,-0.13242242,0.013700423,-0.008043656,-0.09036908,-0.050731007
-0.01202891,-0.013881328,-0.0043898635,-0.042511135,-0.049611986,-0.08544106
-0.015837774,-0.015012112,0.02260719,-0.02528695,-0.07364383,0.1212817
0.007882286,-0.035440665,-0.023267696,-0.07892296,-0.24492542,-0.019093966
-0.008925802,0.0059191906,-0.059426147,0.04367094,-0.022053126,-0.005481336
-0.038578637,-0.06653441,0.0018196985,0.011966677,-0.05244,-0.042667728
-0.03623856,-0.008844709,0.03956201,-0.026362993,0.030861218,0.1118699
-0.025885044,-0.02642164,-0.024689391,0.056373402,0.11318933,0.089236744
-0.056512047,0.0001895271,0.018029973,0.046023916,-0.06503149,-0.0817315
0.009380999,-0.000405614,-0.014098186,-0.006388318,-0.019242188,-0.0061264485
-0.05991682,-0.023720726,0.051611148,0.024218878,-0.029755207,-0.073768884
-0.019813765,-0.014810498,0.00083259935,-0.09013886,-0.03641703,0.14834784
-0.063445926,-0.017164744,-0.00500727,-0.021722123,-0.061064675,0.035462152
-0.040613305,-0.082623415,0.018001629,-0.028728878,-0.01907386,-0.022417307
0.025701847,-0.030177696,-0.05475298,-0.015610008,0.0402531,-0.026999835
0.008822597,-0.05085257,-0.0046950732,0.07707116,-0.117925175,0.043533497
-0.06235398,0.050816037,0.06084938,0.040934663,0.10207429,-0.019682417
-0.03953708,-0.011502147,-0.017943911,0.012571976,-0.009496209,0.1234128
-0.023611074,-0.011937617,0.0583248,-0.072368436,-0.025761718,-0.07409604
-0.051174864,0.012526634,0.01861711,-0.0031110598,-0.22993034,-0.09877237
-0.07319163,-0.03959715,-0.12798226,-0.058974672,-0.050850105,0.11283864
-0.022407353,-0.014019437,0.024164857,0.11042859,-0.12807174,-0.034055423
-0.03809684,-0.04254175,-0.07346282,-0.04205232,-0.0040497775,0.113589585
-0.026938057,-0.052573748,-0.00040748023,-0.02033399,0.026445586,0.070389606
-0.00628667,-0.008614435,-0.023923403,0.056483187,0.04199044,-0.10864736
-0.03719718,-0.03968463,-0.017510504,0.012990965,-0.063312255,-0.048760336
-0.007124232,-0.029835334,-0.0071060257,-0.08548319,-0.05596768,0.0039453274
0.01060029,-0.052330416,0.017433546,0.0057608313,-0.015030242,-0.01763534
0.03573396,-0.053063728,-0.004548683,0.008983765,-0.21784534,0.024230225
-0.0374208,-0.04193739,-0.0862591,-0.030051066,-0.08470098,-0.048999593
-0.004876727,-0.06276844,-0.052936085,-0.00816945,-0.09342243,-0.006794308
0.035326254,0.0072208275,0.063475125,0.008846966,-0.008334745,0.080118805
0.0067362688,0.021429252,0.08959282,-0.05855429,-0.08659003,0.10663342
-0.011396634,-0.037964713,0.005930271,-0.04715729,0.009511523,-0.063203536
-0.084988385,-0.06945975,-0.0003793239,-0.033694066,-0.065426774,-0.018557819
-0.034224663,-0.014005888,0.03173036,-0.036325,0.018422676,-0.010142973
-0.00088426133,0.02953778,-0.06873331,0.04172117,0.12746686,-0.10798828
-0.048778743,-0.03613795,-0.118021935,0.032029483,0.07464133,0.075039335
-0.034179825,-0.005257515,-0.019652734,0.011042239,0.025768934,0.045176297
0.023684422,0.0094297705,-0.082773365,-0.013919022,0.041578107,0.04171095
-0.05513259,0.0015509967,-0.04119056,0.06891758,-0.07927509,-0.008822421
-0.00859226,0.015536683,-0.078207314,0.014644678,-0.111650206,0.069626644
-0.07545058,0.037434075,-0.06892712,0.03639324,-0.11767492,0.07707317
-0.014720875,-0.039094664,-0.04491978,-0.05771959,-0.034339774,0.092802264
-0.043228064,-0.049576037,0.0043858406,-0.035670422,0.0678721,-0.013606627
-0.024870748,-0.02476214,-0.044797547,0.037524085,-0.108350426,0.027949965
-0.07646393,-0.025164496,-0.09561963,0.02460417,-0.01250665,-0.031102834
-0.016312491,0.012028308,-0.0057159932,-0.0033392974,-0.14977655,-0.025834989
-0.040295918,-0.006858627,0.12821124,-0.0030171056,-0.14730783,0.07851784
