frame,grid_row,grid_col,intensity
1,0,0,0.0025867840740829706
1,0,1,0.07168320566415787
1,0,2,0.13300223648548126
1,0,3,0.13291151821613312
1,0,4,0.14075975120067596
1,0,5,0.07645928114652634
1,0,6,0.0
1,0,7,0.0
1,0,8,0.0
1,0,9,0.0
1,0,10,0.0
1,0,11,0.0
1,0,12,0.07119175791740417
1,0,13,0.12310702353715897
1,0,14,0.15812978148460388
1,0,15,0.1422380805015564
1,0,16,0.13233526051044464
1,0,17,0.028637532144784927
1,0,18,0.0
1,0,19,0.0
1,0,20,0.0
1,0,21,0.0
1,0,22,0.0
1,0,23,0.00978653971105814
1,1,0,0.1208285316824913
1,1,1,0.12519077956676483
1,1,2,0.13970623910427094
1,1,3,0.10689306259155273
1,1,4,0.07329127937555313
1,1,5,0.0043660299852490425
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.07302913069725037
1,1,12,0.12175912410020828
1,1,13,0.17951656877994537
1,1,14,0.17262035608291626
1,1,15,0.1271200180053711
1,1,16,0.06342905759811401
1,1,17,0.0
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.07380767166614532
1,2,0,0.12388062477111816
1,2,1,0.13712027668952942
1,2,2,0.1175888180732727
1,2,3,0.09079037606716156
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.08623252809047699
1,2,11,0.16489160060882568
1,2,12,0.18609236180782318
1,2,13,0.1829574704170227
1,2,14,0.16438919305801392
1,2,15,0.06759561598300934
1,2,16,0.0
1,2,17,0.0
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.02508210949599743
1,2,22,0.07641799747943878
1,2,23,0.1404639333486557
1,3,0,0.1623416244983673
1,3,1,0.11678048968315125
1,3,2,0.06982672959566116
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.08111966401338577
1,3,10,0.17300352454185486
1,3,11,0.2229566127061844
1,3,12,0.2334105670452118
1,3,13,0.17940294742584229
1,3,14,0.10156836360692978
1,3,15,0.0255788192152977
1,3,16,0.0
1,3,17,0.0
1,3,18,0.0
1,3,19,0.0
1,3,20,0.03693884611129761
1,3,21,0.0790439173579216
1,3,22,0.13759572803974152
1,3,23,0.18264174461364746
1,4,0,0.11570744961500168
1,4,1,0.07518568634986877
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.09476383775472641
1,4,9,0.17903105914592743
1,4,10,0.22101475298404694
1,4,11,0.21989688277244568
1,4,12,0.22214828431606293
1,4,13,0.14859290421009064
1,4,14,0.08829165995121002
1,4,15,0.017007585614919662
1,4,16,0.00907947402447462
1,4,17,0.0
1,4,18,0.0
1,4,19,0.06907540559768677
1,4,20,0.12865445017814636
1,4,21,0.19111698865890503
1,4,22,0.1855175942182541
1,4,23,0.14089572429656982
1,5,0,0.08945773541927338
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.000436039554188028
1,5,7,0.08139307051897049
1,5,8,0.14871986210346222
1,5,9,0.2236718237400055
1,5,10,0.2768542170524597
1,5,11,0.2728840410709381
1,5,12,0.24970479309558868
1,5,13,0.20696353912353516
1,5,14,0.10116032510995865
1,5,15,0.03954356536269188
1,5,16,0.014500479213893414
1,5,17,0.0901288092136383
1,5,18,0.11432595551013947
1,5,19,0.16801151633262634
1,5,20,0.19051964581012726
1,5,21,0.19302883744239807
1,5,22,0.17265544831752777
1,5,23,0.07974538952112198
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,6,4,0.0
1,6,5,0.018098099157214165
1,6,6,0.0828464925289154
1,6,7,0.19325858354568481
1,6,8,0.23349100351333618
1,6,9,0.2546009123325348
1,6,10,0.2576231062412262
1,6,11,0.23361055552959442
1,6,12,0.2498256117105484
1,6,13,0.15497997403144836
1,6,14,0.17090345919132233
1,6,15,0.14347082376480103
1,6,16,0.20909085869789124
1,6,17,0.23715728521347046
1,6,18,0.2589567303657532
1,6,19,0.27110543847084045
1,6,20,0.23467524349689484
1,6,21,0.19661062955856323
